"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","view_history","scenario","ask_size","interaction_history","buttons","button_pressed","correct","stimulus"
"true","false","[]","[]","[]","preload","0","945","0.0-0.0","","","","","","","","","",""
"","","","","","survey-text","1","391144","0.0-1.0","390243","{""Q0"":""p082""}","","","","","","","",""
"","","","","","instructions","2","403161","0.0-2.0","12016","","[{""page_index"":0,""viewing_time"":12016}]","","","","","","",""
"","","","","","instructions","3","413980","0.0-3.0-0.0","10817","","[{""page_index"":0,""viewing_time"":3137},{""page_index"":1,""viewing_time"":2913},{""page_index"":2,""viewing_time"":4767}]","","","","","","",""
"","","","","","KiN_response","4","421720","0.0-3.0-1.0","","Can I get crayons?","","warmup","","","[""Can I get a teddy bear?"",""Can I get crayons?""]","right","true",""
"","","","","","instructions","5","428462","0.0-3.0-2.0","6741","","[{""page_index"":0,""viewing_time"":3624},{""page_index"":1,""viewing_time"":3117}]","","","","","","",""
"","","","","","instructions","6","437710","0.0-5.0","9247","","[{""page_index"":0,""viewing_time"":9247}]","","","","","","",""
"","","","","","instructions","7","438760","0.0-6.0-0.0","1048","","[{""page_index"":0,""viewing_time"":1048}]","","","","","","",""
"","","","","","instructions","8","456453","0.0-6.0-1.0","17694","","[{""page_index"":0,""viewing_time"":10431},{""page_index"":1,""viewing_time"":3902},{""page_index"":2,""viewing_time"":3361}]","","","","","","",""
"","","","","","survey-text","9","466491","0.0-6.0-2.0","10019","{""Q0"":""1""}","","","","","","","",""
"","","","","","instructions","10","470586","0.0-6.0-3.0","4095","","[{""page_index"":0,""viewing_time"":4095}]","","","","","","",""
"","","","","","KiN_response","11","481043","0.0-6.0-4.0","","alittle","","toy","small","none","[""alot"",""alittle""]","right","",""
"","","","","","instructions","12","495067","0.0-6.0-5.0","14024","","[{""page_index"":0,""viewing_time"":8637},{""page_index"":1,""viewing_time"":5387}]","","","","","","",""
"","","","","","KiN_response","13","509041","0.0-6.0-6.0","","Can I get one more toy?","","toy","small","none","[""If I share my toys, can I get one more toy?"",""Can I get one more toy?""]","right","",""
"","","","","","html-button-response","14","517447","0.0-6.0-7.0","8403","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">If I share my toys, can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
            "
"","","","","","instructions","15","519197","0.0-6.0-8.0","1750","","[{""page_index"":0,""viewing_time"":1749}]","","","","","","",""
"","","","","","html-button-response","16","526201","0.0-6.0-9.0","7001","1","","","","","","","","
          <span style=""font-size: 2vw; font-weight:bold;"">Can I get one more toy?</span><br><br>
          <img style = 'width: 10vw;' src=""stim/more-stim/toy-agent.png""> 
        "
"","","","","","instructions","17","530670","0.0-6.0-10.0","4468","","[{""page_index"":0,""viewing_time"":4468}]","","","","","","",""
"","","","","","instructions","18","531355","0.0-6.0-0.1","683","","[{""page_index"":0,""viewing_time"":683}]","","","","","","",""
